id,product_id,family_id,manufacturer_id,model_name,full_name,release_year,discontinued_year,status,category,design,driver_type,driver_size_mm,impedance_ohms,sensitivity_db,wireless,anc,predecessor,successor,notes,date_added,fit,msrp_usd,sound_signature,connector_type,detachable_cable,weight_g,spec_confidence
1,SONY_MDR1R,2,1,MDR-1R,Sony MDR-1R,2012,,Discontinued,Headphone,Closed Back,Dynamic,40,24,105,No,No,,SONY_MDR1A,Premium closed-back,,Over-Ear,400,,3.5mm,,,Estimated
2,SONY_MDR1A,2,1,MDR-1A,Sony MDR-1A,2014,,Discontinued,Headphone,Closed Back,Dynamic,40,24,105,No,No,SONY_MDR1R,,,,Over-Ear,300,,3.5mm,,,Estimated
3,SONY_MDRZ5,2,1,MDR-Z5,Sony MDR-Z5,2014,,Discontinued,Headphone,Closed Back,Dynamic,70,70,102,No,No,,SONY_MDRZ7,70mm driver; 70Ω; premium portable closed-back; predecessor to MDR-Z7 concept,,Over-Ear,500,,3.5mm,,,Estimated
4,SONY_MDRZ7,2,1,MDR-Z7,Sony MDR-Z7,2014,,Discontinued,Headphone,Closed Back,Dynamic,70,70,102,No,No,,SONY_MDRZ7M2,70mm driver,,Over-Ear,700,Warm,3.5mm,,,Estimated
5,SONY_MDRZ7M2,2,1,MDR-Z7M2,Sony MDR-Z7M2,2018,,Active,Headphone,Closed Back,Dynamic,70,70,102,No,No,SONY_MDRZ7,,,,Over-Ear,400,Warm Neutral,4.4mm Pentaconn,Yes,350,Verified
6,SONY_MDRZ1R,2,1,MDR-Z1R,Sony MDR-Z1R,2016,,Active,Headphone,Closed Back,Dynamic,70,64,100,No,No,,,Signature Series flagship,,Over-Ear,2300,Warm Neutral,4.4mm Pentaconn,Yes,385,Verified
7,SONY_MDR1000X,1,1,MDR-1000X,Sony MDR-1000X,2016,,Discontinued,Headphone,Closed Back,Dynamic,40,46,103,Yes,Yes,,SONY_WH1000XM2,First in the 1000X line,,Over-Ear,400,,,,,Estimated
8,SONY_WH1000XM2,1,1,WH-1000XM2,Sony WH-1000XM2,2017,,Discontinued,Headphone,Closed Back,Dynamic,40,46,103,Yes,Yes,SONY_MDR1000X,SONY_WH1000XM3,,,Over-Ear,350,,Wireless,,275,Estimated
9,SONY_WH1000XM3,1,1,WH-1000XM3,Sony WH-1000XM3,2018,,Discontinued,Headphone,Closed Back,Dynamic,40,47,104,Yes,Yes,SONY_WH1000XM2,SONY_WH1000XM4,,,Over-Ear,350,V-Shaped,Wireless,,255,Estimated
10,SONY_WH1000XM4,1,1,WH-1000XM4,Sony WH-1000XM4,2020,,Discontinued,Headphone,Closed Back,Dynamic,40,48,101,Yes,Yes,SONY_WH1000XM3,SONY_WH1000XM5,,,Over-Ear,350,V-Shaped,Wireless,No,254,Estimated
11,SONY_WH1000XM5,1,1,WH-1000XM5,Sony WH-1000XM5,2022,,Active,Headphone,Closed Back,Dynamic,30,48,101,Yes,Yes,SONY_WH1000XM4,SONY_WH1000XM6,Flagship ANC,,Over-Ear,400,V-Shaped,Wireless,No,250,Estimated
